t,f(t)
1524,8.4589669926616841047845979255528917820697535028766E-12
1528,8.6887797687963322723855409365681499990225175575010E-12
1532,8.9235871424520539950896774907643496326446914665464E-12
1536,9.1634675061609835180224365880013396828679156446988E-12
1540,9.4084999062514910315846749097816138250616355515065E-12
1544,9.6587640401309337887775613359611155777647573751004E-12
1548,9.9143402534800399719653156004748235024284739395184E-12
1552,1.0175309537359942479613369019165935112348995788119E-11
1556,1.0441753525232894566369748188930765736532624379254E-11
1560,1.0713754489897713421371932086173057775506782419495E-11
1564,1.0991395340341011315332642490666745422480252535253E-11
1568,1.1274759618505286892480759914054050870563581440166E-11
1572,1.1563931495974961534714015293921511999260201127314E-11
1576,1.1858995770581457488465353273389704955086034507609E-11
1580,1.2160037862928425626092434546780385330486508697834E-11
1584,1.2467143812838241319547479005256069396492598180263E-11
1588,1.2780400275720896941320708035967405144556677318811E-11
1592,1.3099894518866428982983738016731643025901807704454E-11
1596,1.3425714417662026702049116705472958102817591664657E-11
1600,1.3757948451734977580410130928119544059510841721193E-11
1604,1.4096685701022612709564898475799884328116454462465E-11
1608,1.4442015841770422516518007409666759007189403607069E-11
1612,1.4794029142459520017163845101246094976000934382632E-11
1616,1.5152816459664635038666863653257030523040549047673E-11
1620,1.5518469233843828596541985801954906522665233801215E-11
1624,1.5891079485061121853569733561714945210654518171099E-11
1628,1.6270739808643238834204084953153526226014434998074E-11
1632,1.6657543370771666327669538248777539778263664909476E-11
1636,1.7051583904011238193487308599986097120228091221590E-11
1640,1.7452955702776454592768571512564738620819462124071E-11
1644,1.7861753618736749515367369566822355751232631317400E-11
1648,1.8278073056161922365045122283514838593459669306549E-11
1652,1.8702009967208951310349621527259654583105791546401E-11
1656,1.9133660847151407616173588385905743632518452319945E-11
1660,1.9573122729552691248177322772079414286159303950153E-11
1664,2.0020493181384308697703022754191031341138102008562E-11
1668,2.0475870298090414216755766047438716103098391631292E-11
1672,2.0939352698599835489367484301209008979020772018871E-11
1676,2.1411039520286804205488360693522848989817635753122E-11
1680,2.1891030413881611054755765352742834615599908988538E-11
1684,2.2379425538332403328357798518379897530128046906505E-11
